reading_datestamp,co_prescaled,CO2_prescaled,no_prescaled,no2_prescaled,o3_prescaled,pm1_prescale,pm2_5_prescale,pm4_prescale,pm10_prescale,pm_total_prescale,pm_tpc_prescale,nox_prescaled,temperature_f,pressure,humidity
02/Sep/2021 09:45:00,250.38,420.35,15.87,6.86,14.86,5.38,6.94,8,10.23,10.23,2.91,13.14,75.9,992.6,63.6
02/Sep/2021 10:00:00,255.19,418.04,15.78,7.1,16.61,5.26,6.89,7.97,9.76,9.76,2.82,12.58,77,992.5,62.5
02/Sep/2021 10:15:00,254.69,413.88,15.9,7.3,18.42,5.35,6.98,8.12,11.68,11.7,2.88,14.58,77.7,993,61.5
02/Sep/2021 10:30:00,265.17,412.49,15.54,7.48,20.59,5.2,6.77,7.84,9.82,9.82,2.78,12.6,78.4,992.3,61
02/Sep/2021 10:45:00,256.95,408.79,17.1,6.56,23.36,5.4,6.97,8.12,10.32,10.32,2.92,13.24,79.2,992.9,59.8
02/Sep/2021 11:00:00,252.48,408.33,19.93,6.77,24.49,5.85,7.89,9.32,11.27,11.27,3.15,14.42,79.9,993.2,58.5
02/Sep/2021 11:15:00,252.02,407.4,14.53,6.83,26.32,6.01,8.04,9.46,11.37,11.37,3.21,14.58,80.4,992.8,57.6
02/Sep/2021 11:30:00,252.93,405.55,17.07,7.21,25.98,5.94,7.69,8.7,11.05,11.05,3.17,14.22,81.1,992.8,56.7
02/Sep/2021 11:45:00,240.38,404.63,17.95,6.83,25.95,5.85,7.59,8.67,10.19,10.19,3.13,13.32,82,992.7,55.5
02/Sep/2021 12:00:00,229.69,403.7,22.57,6.92,27.44,5.98,7.88,9.26,11.48,11.48,3.19,14.67,82.9,992.2,53.9
02/Sep/2021 12:15:00,246.77,404.16,23.82,7.59,27.06,5.77,7.78,9.26,11.49,11.49,3.1,14.59,83.5,992.6,53.3
02/Sep/2021 12:30:00,219.43,404.63,27.46,6.74,28.93,6.12,8.07,9.47,11.38,11.38,3.26,14.64,84.4,992.9,51.7
02/Sep/2021 12:45:00,230.76,404.16,26.89,7.01,28.18,5.96,8.01,9.48,10.99,10.99,3.2,14.19,84.9,992.6,50.9
02/Sep/2021 13:00:00,216.36,403.24,29.28,7.11,29.96,6.13,8.24,9.79,12.25,12.25,3.29,15.54,86,993.1,49.8
02/Sep/2021 13:15:00,224.37,402.31,24.02,7.84,31.78,6.01,7.97,9.12,11.35,11.35,3.24,14.59,85.8,993.1,49.4
02/Sep/2021 13:30:00,243.22,401.39,16.17,8.16,33.84,5.92,7.94,9.21,10.77,10.77,3.17,13.94,84.9,992.6,49.4
02/Sep/2021 13:45:00,251.85,402.31,15.99,8.65,34.28,5.79,7.88,9.37,11.22,11.22,3.13,14.35,84.7,992.5,49.6
02/Sep/2021 14:00:00,247.22,402.31,18.13,8,35.76,5.89,7.83,9.17,10.52,10.52,3.14,13.66,85.5,992.7,48.9
02/Sep/2021 14:15:00,235.84,401.85,20.37,8.21,34.98,5.98,7.93,9.46,11.29,11.29,3.19,14.48,86.4,992.5,48.2
02/Sep/2021 14:30:00,234.17,401.39,19.27,8.28,37.4,5.87,7.98,9.64,10.52,10.52,3.14,13.66,86.5,991.4,47.1
